Date,BidAsk,Vol,Open,High,Low,Close,S_1,S_3,S_5,Corr,Std_U,Std_D,OD,OL
2022-09-19 11:18:00,34,256,3899.25,3899.5,3899.25,3899.5,3899.5,3899.4166666666665,3900.15,0.3592106067298247,0.25,0.0,0.0,-0.25
2022-09-19 11:18:02,-9,137,3899.25,3899.25,3899.25,3899.25,3899.5,3899.4166666666665,3900.15,0.3592106067298247,0.0,0.0,0.0,-0.25
2022-09-19 11:18:04,49,122,3899.25,3899.5,3899.25,3899.5,3899.25,3899.4166666666665,3900.15,0.3592106067298247,0.25,0.0,0.0,0.0
2022-09-19 11:18:06,221,437,3899.75,3900.75,3899.75,3900.75,3899.5,3899.4166666666665,3900.15,0.3592106067298247,1.0,0.0,0.5,0.25
2022-09-19 11:18:08,100,517,3901.25,3901.75,3901.25,3901.75,3900.75,3899.8333333333335,3900.15,0.3592106067298247,0.5,0.0,1.5,0.5
2022-09-19 11:18:10,40,395,3901.25,3901.5,3901.25,3901.5,3901.75,3900.6666666666665,3900.15,0.9083460497618557,0.25,0.0,0.0,-0.5
2022-09-19 11:18:12,-29,179,3901.5,3901.5,3901.5,3901.5,3901.5,3901.3333333333335,3900.55,0.7634873881621113,0.0,0.0,0.25,0.0
2022-09-19 11:18:14,246,927,3902.75,3902.75,3902.5,3902.5,3901.5,3901.5833333333335,3901.0,-0.9707253599251655,0.0,0.25,1.25,1.25
2022-09-19 11:18:16,-105,511,3902.5,3902.5,3902.5,3902.5,3902.5,3901.8333333333335,3901.6,-0.5000000372528248,0.0,0.0,-0.25,0.0
2022-09-19 11:18:18,21,330,3901.5,3902.25,3901.5,3902.25,3902.5,3902.1666666666665,3901.95,0.5000000037253614,0.75,0.0,-1.0,-1.0
2022-09-19 11:18:20,6,394,3902.25,3902.25,3902.25,3902.25,3902.25,3902.4166666666665,3902.05,-0.49999997019759945,0.0,0.0,0.75,0.0
2022-09-19 11:18:22,7,251,3902.5,3902.5,3902.25,3902.25,3902.25,3902.3333333333335,3902.2,0.500000104307901,0.0,0.25,0.25,0.25
2022-09-19 11:18:24,-34,254,3902.5,3902.5,3902.25,3902.25,3902.25,3902.25,3902.35,0.500000104307901,0.0,0.25,0.0,0.25
2022-09-19 11:18:26,11,299,3901.75,3902.25,3901.75,3902.25,3902.25,3902.25,3902.3,0.500000104307901,0.5,0.0,-0.75,-0.5
2022-09-19 11:18:28,0,87,3902.0,3902.0,3902.0,3902.0,3902.25,3902.25,3902.25,0.500000104307901,0.0,0.0,0.25,-0.25
2022-09-19 11:18:30,-57,191,3902.25,3902.25,3902.0,3902.0,3902.0,3902.1666666666665,3902.2,0.500000104307901,0.0,0.25,0.25,0.25
